"Stadtteil","Jahr","Haupt-/Werkrealschule %"
"Hohenwettersbach","2014",2.1
"Hohenwettersbach","2015",4.2
"Hohenwettersbach","2016",0.0
"Hohenwettersbach","2017",0.0
"Hohenwettersbach","2018",0.0
"Hohenwettersbach","2019",0.0
"Hohenwettersbach","2020",0.0
"Hohenwettersbach","2021",0.0
"Wolfartsweier","2010",16.7
"Wolfartsweier","2011",3.1
"Wolfartsweier","2012",5.1
"Wolfartsweier","2013",2.3
"Wolfartsweier","2014",8.8
"Wolfartsweier","2015",8.1
"Wolfartsweier","2016",3.1
"Wolfartsweier","2017",0.0
"Wolfartsweier","2018",0.0
"Wolfartsweier","2019",0.0
"Wolfartsweier","2020",0.0
"Wolfartsweier","2021",5.9
"Grünwettersbach","2010",4.9
"Grünwettersbach","2011",3.0
"Grünwettersbach","2012",4.8
"Grünwettersbach","2013",2.2
"Grünwettersbach","2014",11.5
"Grünwettersbach","2015",4.7
"Grünwettersbach","2016",7.1
"Grünwettersbach","2017",2.4
"Grünwettersbach","2018",0.0
"Grünwettersbach","2019",1.7
"Grünwettersbach","2020",2.0
"Grünwettersbach","2021",0.0
"Palmbach","2010",
"Palmbach","2011",
"Palmbach","2012",
"Palmbach","2013",
"Palmbach","2014",
"Palmbach","2015",
"Palmbach","2016",
"Palmbach","2017",
"Palmbach","2018",
"Palmbach","2019",
"Palmbach","2020",
"Palmbach","2021",
"Neureut","2010",21.1
"Neureut","2011",18.9
"Neureut","2012",13.8
"Neureut","2013",4.9
"Neureut","2014",0.9
"Neureut","2015",3.5
"Neureut","2016",2.3
"Neureut","2017",0.9
"Neureut","2018",0.6
"Neureut","2019",4.9
"Neureut","2020",1.3
"Neureut","2021",1.9
"Nordstadt","2010",15.7
"Nordstadt","2011",5.4
"Nordstadt","2012",10.3
"Nordstadt","2013",10.2
"Nordstadt","2014",5.1
"Nordstadt","2015",7.1
"Nordstadt","2016",1.8
"Nordstadt","2017",3.3
"Nordstadt","2018",4.6
"Nordstadt","2019",4.8
"Nordstadt","2020",10.0
"Nordstadt","2021",2.6
